site,combo,n_features,r2,mae_kwh
house1,general,20,0.6178,0.1396
house1,direction,8,0.6487,0.1381
house1,dir_season,12,0.5921,0.1438
house1,dir_temp,10,0.5964,0.1446
house1,dir_season_temp,14,0.5876,0.1438
house1,core_hour,3,0.5394,0.1602
house2,general,20,0.765,0.052
house2,direction,8,0.7087,0.0583
house2,dir_season,12,0.6788,0.0612
house2,dir_temp,10,0.7397,0.0543
house2,dir_season_temp,14,0.7576,0.0524
house2,core_hour,3,0.6213,0.0679
reactor,general,20,0.8727,0.3595
reactor,direction,8,0.8183,0.4262
reactor,dir_season,12,0.8053,0.4357
reactor,dir_temp,10,0.8701,0.3613
reactor,dir_season_temp,14,0.8745,0.3565
reactor,core_hour,3,0.7687,0.4627
